asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-2001,Duplicate will appear twice,pole,20.2961,85.8245,45.0,2026-09-10,A. Patnaik,active,8,"{""height_m"": 9.0}"
PL-2001,Same code again,pole,20.2962,85.8246,45.0,2026-09-10,A. Patnaik,active,7,"{""height_m"": 9.0}"
,Missing asset code,pole,20.2700,85.8400,41.0,2026-09-10,S. Das,active,5,"{""height_m"": 8.0}"
pl-0142,Bad code format lowercase,pole,20.2800,85.8300,42.0,2026-09-10,L. Jena,active,6,"{""height_m"": 8.0}"
PL-2099,Latitude out of range,pole,95.0000,85.8245,40.0,2026-09-10,B. Sahoo,active,7,"{""height_m"": 8.0}"
PL-2098,Longitude not a number,pole,20.2900,east of temple,41.0,2026-09-10,A. Patnaik,active,7,"{""height_m"": 8.0}"
PL-2097,Condition score too high,pole,20.2910,85.8250,41.0,2026-09-10,R. K. Mishra,active,14,"{""height_m"": 8.0}"
PL-2096,Blank condition score,pole,20.2920,85.8260,41.0,2026-09-10,S. Das,active,,"{""height_m"": 8.0}"
PL-2095,Future survey date,pole,20.2930,85.8270,41.0,2027-03-01,L. Jena,active,8,"{""height_m"": 8.0}"
PL-2094,Broken JSON attributes,pole,20.2940,85.8280,41.0,2026-09-10,B. Sahoo,active,8,"{height: 9"
PL-2093,Unknown asset type pump,pump,20.2950,85.8290,41.0,2026-09-10,A. Patnaik,active,8,"{""rating_kva"": 50}"
PL-2092,ab,pole,20.2970,85.8300,41.0,2026-09-10,A. Patnaik,active,8,"{""height_m"": 8.0}"
PL-2091,Decommissioned with high condition,pole,20.2980,85.8310,41.0,2026-09-10,A. Patnaik,decommissioned,5,"{""height_m"": 8.0}"
