asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0001,  NORTH   feeder pole ,Pole,20.2961 N,85.8245 E,45.2,2026-09-10,A. Patnaik,active,8,"{""height_m"": 9.1, ""material"": ""concrete""}"
PL-0002,south ring  road pole,POLE,20.2704,85.8401,42.0,2026-09-10,a patnaik,ACTIVE,6,"{""height_m"": 8.5}"
PL-0003,Patia junction pole,pole,20.3530,85.8238 E,,2026-09-10,A  PATNAIK,active,4,"{""height_m"": 7.8}"
PL-0004,Nayapalli feeder pole,pole,20.2845,85.8122,44.1,2026-09-11,R. K. Mishra,active,9,"{""height_m"": 10.0, ""material"": ""steel""}"
PL-0005,Old town pole,pole,20.2410,85.8340,38.6,2026-09-11,r k mishra,decommissioned,1,"{""height_m"": 6.2}"
PL-0006,Chandrasekharpur pole,pole,20.3301,85.8180,46.8,2026-09-11,S. Das,active,7,"{""height_m"": 9.0}"
PL-0007,Khandagiri pole,pole,20.2622,85.7785,51.3,2026-09-12,S. Das,proposed,10,"{""height_m"": 11.0}"
PL-0008,Vani vihar pole,pole,20.2920,85.8415,43.0,2026-09-12,B. Sahoo,active,5,"{""height_m"": 8.0}"
PL-0009,Saheed nagar pole,pole,20.2888,85.8450,42.7,2026-09-12,B. Sahoo,active,3,"{""height_m"": 7.5}"
PL-0010,Rasulgarh pole,pole,20.2680,85.8620,40.2,2026-09-12,A. Patnaik,active,8,"{""height_m"": 9.4}"
PL-0011,Cuttack road pole,pole,20.3015,85.8555,41.9,2026-09-13,L. Jena,active,6,"{""height_m"": 8.8}"
PL-0012,Airport approach pole,pole,20.2540,85.8175,39.4,2026-09-13,L. Jena,active,2,"{""height_m"": 7.0}"
PL-0013,Infocity pole,pole,20.3408,85.8062,47.5,2026-09-13,S. Das,active,9,"{""height_m"": 10.2}"
PL-0014,Jaydev vihar pole,pole,20.3010,85.8190,44.8,2026-09-13,R. K. Mishra,active,7,"{""height_m"": 8.6}"
PL-0015,Unit 1 market pole,pole,20.2708,85.8333,41.1,2026-09-14,B. Sahoo,active,8,"{""height_m"": 9.0}"
PL-0016,Bapuji nagar pole,pole,20.2655,85.8280,40.8,2026-09-14,A. Patnaik,active,4,"{""height_m"": 7.9}"
PL-0017,Laxmisagar pole,pole,20.2558,85.8488,39.0,2026-09-14,L. Jena,active,5,"{""height_m"": 8.2}"
PL-0018,Bomikhal pole,pole,20.2782,85.8584,41.6,2026-09-14,S. Das,active,6,"{""height_m"": 8.4}"
